Temperature_LivingRoom,Humidity_LivingRoom,Temperature_Kitchen,Humidity_Kitchen,Temperature_Bedroom,Humidity_Bedroom,Outdoor_Temperature,Outdoor_Humidity,Windspeed,Light_Intensity,Energy_Consumption,Timestamp
6.71,75.0,20.99,89.81,20.51,19.07,3.65,47.21,56.48,6.57,219.61,2004-01-04 13:00:00
77.55,45.33,52.44,44.08,40.08,55.96,15.52,18.19,86.18,94.61,310.63,2004-01-04 14:00:00
37.33,27.07,64.4,40.87,2.54,15.62,71.6,65.89,2.71,22.2,230.43,2004-01-04 15:00:00
23.11,67.19,1.97,10.41,79.99,17.85,65.27,23.82,9.94,24.32,219.69,2004-01-04 16:00:00
72.23,85.57,83.02,39.72,66.81,20.5,29.31,89.63,1.3,8.55,299.31,2004-01-04 17:00:00
20.79,2.65,18.14,58.3,42.14,89.27,81.74,34.18,25.94,37.97,319.19,2004-01-04 18:00:00
59.03,26.81,62.41,40.94,55.2,43.61,29.45,94.85,76.36,14.01,282.12,2004-01-04 19:00:00
86.85,48.74,89.46,79.99,42.52,2.25,26.87,54.16,63.35,25.79,304.06,2004-01-04 20:00:00
13.94,83.49,98.44,52.57,17.17,27.23,1.84,91.43,11.78,57.65,292.23,2004-01-04 21:00:00
27.41,55.42,65.14,82.97,20.64,1.1,13.69,90.0,87.39,59.74,289.0,2004-01-04 22:00:00
60.05,66.5,17.54,91.44,41.88,38.31,51.89,4.7,16.63,73.8,284.93,2004-01-04 23:00:00
8.28,60.32,24.53,38.93,28.87,35.57,71.9,29.71,56.64,47.61,289.23,2004-01-05 00:00:00
66.37,93.68,73.26,21.49,3.12,26.23,59.51,5.14,49.64,59.68,291.63,2004-01-05 01:00:00
33.42,77.09,10.66,7.51,72.82,49.55,68.84,43.48,24.64,81.91,299.61,2004-01-05 02:00:00
79.94,69.47,27.21,59.02,36.1,9.16,91.73,13.68,95.02,44.6,317.47,2004-01-05 03:00:00
18.51,54.19,87.29,73.22,80.66,65.88,69.23,84.92,24.97,48.94,421.67,2004-01-05 04:00:00
22.12,98.77,94.41,3.94,70.56,92.52,18.06,56.79,91.55,3.39,370.24,2004-01-05 05:00:00
69.74,29.73,92.44,97.11,94.43,47.42,86.2,84.45,31.91,82.89,473.2,2004-01-05 06:00:00
3.7,59.63,23.0,12.06,7.7,69.63,33.99,72.48,6.54,31.53,229.28,2004-01-05 07:00:00
53.95,79.07,31.88,62.59,88.6,61.59,23.3,2.44,87.01,2.13,332.96,2004-01-05 08:00:00
87.47,52.89,93.91,79.88,99.79,35.07,76.72,40.19,47.99,62.75,440.69,2004-01-05 09:00:00
87.37,98.41,76.83,41.78,42.14,73.76,23.88,11.05,35.46,28.72,347.04,2004-01-05 10:00:00
29.63,23.36,4.21,1.79,98.77,42.78,38.43,67.96,21.83,95.0,256.53,2004-01-05 11:00:00
78.63,8.94,41.76,87.91,94.47,46.74,61.34,16.7,99.12,23.17,359.7,2004-01-05 12:00:00
94.27,64.96,60.77,51.27,23.07,17.65,22.05,18.64,77.96,35.01,256.17,2004-01-05 13:00:00
5.78,96.91,88.38,92.78,99.49,17.39,39.62,75.82,69.6,15.39,409.11,2004-01-05 14:00:00
81.58,22.44,22.38,53.7,59.29,58.01,9.15,87.75,26.56,12.95,247.04,2004-01-05 15:00:00
88.87,95.57,86.21,80.95,65.52,55.09,8.7,40.85,37.27,25.98,367.44,2004-01-05 16:00:00
72.34,49.59,8.1,22.02,68.33,7.61,85.12,49.51,48.06,59.24,271.92,2004-01-05 17:00:00
82.47,34.78,67.8,56.57,26.7,87.86,79.74,65.85,85.06,86.73,442.02,2004-01-05 18:00:00
70.84,83.7,69.75,68.01,61.86,75.27,15.86,88.09,87.18,2.92,375.22,2004-01-05 19:00:00
82.58,12.89,33.51,74.35,16.08,81.8,83.21,50.75,0.64,28.7,301.37,2004-01-05 20:00:00
61.69,98.12,63.18,25.98,63.4,54.0,77.98,10.7,76.1,54.13,396.66,2004-01-05 21:00:00
96.3,34.19,63.26,93.2,10.25,93.72,68.79,6.78,30.1,70.82,382.68,2004-01-05 22:00:00
6.74,58.22,34.59,62.09,4.57,87.15,97.35,96.89,74.97,13.01,376.45,2004-01-05 23:00:00
75.83,2.46,2.21,32.36,48.86,77.04,68.33,44.59,27.36,99.71,311.77,2004-01-06 00:00:00
42.62,45.14,16.36,79.48,69.37,22.08,8.24,68.05,65.45,27.33,256.47,2004-01-06 01:00:00
95.09,15.11,43.23,94.36,41.97,63.85,39.76,27.42,98.4,40.93,321.36,2004-01-06 02:00:00
89.41,23.0,21.31,3.11,65.17,36.85,86.44,47.32,96.82,18.55,302.99,2004-01-06 03:00:00
86.86,77.66,77.09,84.48,76.1,62.62,13.12,3.25,92.08,61.67,378.96,2004-01-06 04:00:00
79.65,48.15,11.73,12.52,68.56,43.03,20.05,49.16,6.42,58.2,224.44,2004-01-06 05:00:00
26.9,79.76,31.04,45.52,1.16,7.24,39.25,47.99,60.0,29.17,238.72,2004-01-06 06:00:00
69.5,86.01,77.99,3.96,48.05,10.49,24.2,98.67,14.25,49.89,258.18,2004-01-06 07:00:00
61.82,70.25,55.96,0.98,32.65,51.77,8.79,35.06,3.32,7.86,184.7,2004-01-06 08:00:00
39.69,13.27,56.75,68.95,80.06,20.02,16.75,10.46,63.64,70.65,273.8,2004-01-06 09:00:00
3.16,93.62,5.2,54.13,70.91,87.1,71.41,80.17,33.95,81.48,394.64,2004-01-06 10:00:00
8.01,89.48,54.76,81.73,45.23,64.36,52.64,73.16,8.16,6.04,338.59,2004-01-06 11:00:00
24.71,15.95,87.18,21.92,97.59,33.69,18.21,78.97,65.87,49.82,305.23,2004-01-06 12:00:00
55.54,71.92,22.85,99.63,97.48,65.03,19.95,68.02,7.22,3.07,348.37,2004-01-06 13:00:00
25.77,46.26,86.83,72.72,74.27,42.55,34.59,37.1,98.76,4.01,342.15,2004-01-06 14:00:00
86.7,57.87,43.86,72.53,48.67,87.34,90.07,42.17,27.68,59.24,413.61,2004-01-06 15:00:00
91.24,21.07,62.3,63.16,73.31,13.16,71.58,90.9,17.97,23.75,303.93,2004-01-06 16:00:00
97.14,18.1,85.44,49.23,24.72,87.07,44.53,51.48,35.92,59.3,343.78,2004-01-06 17:00:00
16.35,39.11,96.94,25.81,65.67,32.52,77.35,13.09,96.98,45.38,370.64,2004-01-06 18:00:00
23.61,7.35,16.98,51.98,33.7,82.89,43.09,24.87,61.71,70.68,287.6,2004-01-06 19:00:00
16.7,16.76,3.67,73.64,66.38,47.46,84.42,80.57,58.54,86.83,349.92,2004-01-06 20:00:00
20.58,11.19,26.97,5.71,53.12,93.66,3.93,12.21,45.22,93.39,247.81,2004-01-06 21:00:00
31.62,50.72,4.16,14.83,98.66,96.51,0.49,95.18,63.91,86.79,333.22,2004-01-06 22:00:00
45.47,51.56,48.88,66.69,13.97,3.0,30.79,70.47,20.19,67.34,239.4,2004-01-06 23:00:00
96.99,9.39,67.26,44.38,86.81,17.71,69.26,83.81,94.46,68.32,361.87,2004-01-07 00:00:00
49.72,61.78,86.89,57.06,3.04,93.09,68.95,67.65,21.57,65.89,390.07,2004-01-07 01:00:00
39.39,65.12,10.66,65.78,99.94,4.82,97.72,40.69,87.08,78.24,382.02,2004-01-07 02:00:00
56.7,73.84,87.85,40.41,32.7,66.76,80.78,76.23,79.78,43.56,422.14,2004-01-07 03:00:00
81.78,12.02,54.45,0.58,32.46,36.65,39.62,69.55,38.86,44.87,239.93,2004-01-07 04:00:00
23.75,37.33,22.73,7.32,60.34,66.82,61.95,46.35,37.98,86.33,309.52,2004-01-07 05:00:00
51.91,47.92,2.56,34.12,38.02,39.88,58.02,53.36,60.79,76.49,275.78,2004-01-07 06:00:00
81.3,71.81,95.55,1.82,19.58,0.76,64.75,89.8,24.35,92.7,294.6,2004-01-07 07:00:00
6.03,93.44,35.16,10.14,48.59,25.68,28.49,30.73,80.3,53.92,256.26,2004-01-07 08:00:00
31.13,61.03,71.62,27.26,41.35,12.19,18.11,68.11,18.14,52.52,247.11,2004-01-07 09:00:00
70.9,10.69,56.73,25.66,96.29,48.35,80.6,55.02,4.34,63.32,345.85,2004-01-07 10:00:00
95.14,60.16,81.92,88.42,22.81,21.2,61.1,41.1,83.99,90.0,378.1,2004-01-07 11:00:00
35.34,23.69,78.05,27.48,82.26,42.37,66.75,9.55,62.39,45.18,334.16,2004-01-07 12:00:00
58.66,16.8,73.69,86.28,21.67,9.57,2.36,64.2,60.71,54.67,238.81,2004-01-07 13:00:00
23.19,39.09,59.45,49.68,98.78,13.64,69.51,40.43,42.82,71.76,350.55,2004-01-07 14:00:00
69.24,99.13,12.84,10.41,72.43,57.84,27.42,7.94,8.57,89.42,273.17,2004-01-07 15:00:00
19.19,32.34,22.67,35.5,6.94,51.91,6.76,80.04,23.37,54.0,211.99,2004-01-07 16:00:00
88.01,65.09,53.3,32.43,33.3,66.95,99.41,66.18,55.78,73.07,398.84,2004-01-07 17:00:00
46.52,6.01,56.23,95.76,17.53,69.0,20.09,53.58,9.67,45.04,273.39,2004-01-07 18:00:00
75.62,34.76,66.49,79.54,92.72,23.46,39.93,15.24,99.25,92.7,386.11,2004-01-07 19:00:00
54.0,84.2,52.1,62.36,8.91,75.53,12.77,82.61,78.2,70.87,363.77,2004-01-07 20:00:00
3.62,30.31,26.31,36.01,8.76,93.7,55.38,30.55,39.7,44.72,284.29,2004-01-07 21:00:00
60.06,51.57,91.94,49.7,99.22,85.14,20.85,93.06,11.64,81.74,412.11,2004-01-07 22:00:00
38.06,87.8,86.81,80.59,79.0,30.47,8.09,40.3,17.35,69.5,354.05,2004-01-07 23:00:00
34.61,97.56,64.1,82.25,13.25,86.2,92.28,48.71,60.63,76.48,478.58,2004-01-08 00:00:00
17.48,50.26,39.87,14.64,36.75,6.82,2.58,13.52,96.31,54.95,203.76,2004-01-08 01:00:00
96.58,43.25,31.18,50.61,43.95,10.57,64.08,21.6,61.96,65.02,277.69,2004-01-08 02:00:00
15.2,6.13,78.08,45.98,5.82,99.49,5.78,69.5,98.37,23.92,312.5,2004-01-08 03:00:00
14.22,12.14,30.33,10.1,69.22,6.23,50.94,99.67,81.4,61.52,249.31,2004-01-08 04:00:00
30.63,62.39,52.7,42.61,13.07,88.66,44.98,19.46,36.78,41.41,292.49,2004-01-08 05:00:00
82.75,73.36,76.93,1.1,41.62,48.13,1.92,25.98,76.03,13.71,231.74,2004-01-08 06:00:00
53.53,21.52,1.21,24.12,97.59,80.15,95.96,48.79,10.97,54.8,328.51,2004-01-08 07:00:00
45.44,84.44,9.81,48.82,15.0,32.47,73.74,47.6,37.59,39.45,273.76,2004-01-08 08:00:00
45.94,78.5,89.21,95.53,78.69,31.54,68.81,43.76,25.47,84.09,417.62,2004-01-08 09:00:00
3.84,90.18,46.15,63.72,65.94,89.51,63.67,61.39,6.67,51.84,389.26,2004-01-08 10:00:00
15.02,73.74,51.22,68.02,4.17,8.48,71.63,7.21,7.13,1.21,210.26,2004-01-08 11:00:00
95.65,73.75,35.33,29.65,34.97,77.47,66.14,18.52,17.41,9.84,297.62,2004-01-08 12:00:00
66.03,76.44,26.5,2.09,8.22,96.79,29.54,76.92,62.47,38.19,272.92,2004-01-08 13:00:00
20.57,12.14,61.5,77.46,64.39,53.03,4.2,96.85,79.87,29.28,330.09,2004-01-08 14:00:00
98.0,60.19,58.24,74.81,81.18,65.65,12.81,33.83,92.81,22.46,361.08,2004-01-08 15:00:00
37.22,43.21,43.94,61.29,94.31,24.07,12.15,19.75,88.69,64.58,323.25,2004-01-08 16:00:00
28.59,81.59,86.14,84.65,91.89,25.22,75.5,46.05,84.2,72.85,454.04,2004-01-08 17:00:00
77.64,65.62,17.74,54.5,98.47,93.74,4.32,16.48,13.17,72.6,336.43,2004-01-08 18:00:00
81.78,21.35,50.59,84.07,73.28,54.22,59.03,50.84,29.75,56.5,362.12,2004-01-08 19:00:00
68.89,87.33,63.63,76.11,16.01,46.16,0.93,24.67,72.65,99.18,326.57,2004-01-08 20:00:00
9.92,40.15,80.01,20.4,55.51,73.31,61.6,18.8,35.54,78.38,357.43,2004-01-08 21:00:00
55.42,0.52,76.1,3.53,74.57,20.25,95.81,36.79,32.69,14.89,286.09,2004-01-08 22:00:00
30.56,87.67,99.63,36.83,44.86,72.21,88.62,59.3,39.15,41.26,426.11,2004-01-08 23:00:00
69.56,0.32,61.96,35.55,79.42,9.3,58.82,48.1,64.23,6.49,276.7,2004-01-09 00:00:00
58.0,56.15,56.07,60.35,67.65,80.5,26.98,82.5,49.83,7.71,336.79,2004-01-09 01:00:00
5.86,33.42,78.49,70.77,78.86,51.73,44.02,14.75,32.82,43.4,345.17,2004-01-09 02:00:00
8.86,22.06,59.82,73.57,99.83,93.31,64.26,42.12,63.62,78.57,453.29,2004-01-09 03:00:00
11.83,40.99,83.98,38.38,57.19,58.78,18.45,36.22,33.45,2.62,277.24,2004-01-09 04:00:00
2.42,83.17,27.31,51.81,29.87,94.07,25.93,42.97,87.27,84.19,343.14,2004-01-09 05:00:00
18.61,80.26,45.82,48.3,13.35,8.06,72.79,49.65,43.69,72.95,297.04,2004-01-09 06:00:00
76.55,15.89,61.02,13.54,75.14,65.7,95.66,6.9,5.71,28.22,301.95,2004-01-09 07:00:00
26.17,24.7,90.63,24.95,27.19,75.94,44.97,77.67,6.54,48.76,292.32,2004-01-09 08:00:00
3.36,6.27,90.64,13.92,53.24,41.11,34.73,89.98,2.18,66.38,289.13,2004-01-09 09:00:00
96.34,56.02,93.68,5.23,41.88,26.02,73.08,98.13,25.65,65.42,342.61,2004-01-09 10:00:00
19.81,56.53,46.39,97.2,60.85,34.95,11.41,15.12,22.53,25.1,264.43,2004-01-09 11:00:00
85.06,56.12,52.34,11.48,86.01,72.28,6.77,70.78,54.35,8.17,303.56,2004-01-09 12:00:00
45.83,48.47,16.58,94.57,85.0,66.9,46.23,41.18,65.1,54.54,374.62,2004-01-09 13:00:00
6.23,51.25,80.64,45.92,5.2,78.63,20.14,25.86,16.47,33.02,274.79,2004-01-09 14:00:00
75.68,51.94,20.49,87.78,87.96,87.06,23.88,45.12,98.5,77.2,438.81,2004-01-09 15:00:00
2.72,6.52,46.39,90.92,53.87,49.78,10.55,65.68,82.21,38.04,293.28,2004-01-09 16:00:00
77.56,96.45,20.38,52.33,28.71,79.29,57.76,63.46,79.79,39.6,359.69,2004-01-09 17:00:00
91.51,53.3,15.8,69.59,79.33,31.68,85.72,90.61,27.69,98.35,374.48,2004-01-09 18:00:00
14.07,20.2,18.42,89.4,65.43,15.21,44.03,61.53,8.35,88.24,293.26,2004-01-09 19:00:00
80.36,50.52,96.71,41.78,98.41,66.79,63.47,16.6,88.19,42.75,425.47,2004-01-09 20:00:00
16.22,1.26,55.98,52.74,71.94,89.03,7.94,73.15,18.74,85.82,322.21,2004-01-09 21:00:00
81.91,54.08,71.02,31.44,47.12,82.16,45.93,35.78,49.42,82.82,360.28,2004-01-09 22:00:00
33.52,17.38,71.2,82.6,10.06,23.99,14.2,34.79,45.04,74.88,246.93,2004-01-09 23:00:00
65.11,62.09,35.24,84.14,47.13,97.91,63.41,12.63,67.62,32.51,381.95,2004-01-10 00:00:00
68.63,6.96,17.49,85.57,22.72,83.7,27.93,64.29,69.42,51.27,299.94,2004-01-10 01:00:00
30.53,21.26,3.32,30.39,65.32,93.83,87.12,76.61,78.84,66.5,385.83,2004-01-10 02:00:00
26.03,90.72,67.07,56.04,11.1,44.71,46.04,86.46,54.66,38.04,341.47,2004-01-10 03:00:00
97.68,11.07,42.25,4.2,73.99,91.81,28.0,85.83,29.22,91.08,326.83,2004-01-10 04:00:00
75.4,80.49,1.8,96.28,72.67,30.48,82.94,28.15,87.28,11.26,376.1,2004-01-10 05:00:00
70.37,54.07,9.65,24.19,1.24,46.88,30.13,59.84,29.72,29.99,200.41,2004-01-10 06:00:00
74.32,4.81,90.29,85.23,66.78,59.32,89.23,18.53,7.9,23.95,365.34,2004-01-10 07:00:00
79.46,3.47,58.28,99.54,85.57,52.14,6.36,83.14,59.9,11.49,337.94,2004-01-10 08:00:00
9.39,90.96,66.92,82.93,87.9,57.18,51.74,43.04,31.69,43.46,416.51,2004-01-10 09:00:00
77.39,60.19,89.25,44.34,60.71,63.13,59.17,70.26,23.74,51.24,385.4,2004-01-10 10:00:00
10.42,38.45,48.77,65.22,95.05,60.07,74.36,50.63,63.41,7.09,377.88,2004-01-10 11:00:00
25.44,36.19,47.25,4.56,14.0,27.68,97.15,33.13,48.2,19.61,233.88,2004-01-10 12:00:00
61.08,28.07,20.7,51.66,0.55,0.77,21.91,3.67,10.8,33.89,118.82,2004-01-10 13:00:00
80.26,57.2,51.27,29.35,93.18,39.7,8.71,61.71,11.38,34.52,257.73,2004-01-10 14:00:00
50.74,87.42,49.35,70.23,99.28,13.15,27.47,39.46,42.18,41.1,325.53,2004-01-10 15:00:00
90.76,71.4,60.79,30.94,82.38,95.51,82.12,0.16,63.64,5.11,399.66,2004-01-10 16:00:00
25.76,5.95,60.38,68.66,11.45,38.38,45.62,36.91,12.1,41.89,251.57,2004-01-10 17:00:00
75.12,7.1,8.02,35.48,94.17,66.86,67.87,36.19,59.37,1.01,294.69,2004-01-10 18:00:00
63.61,91.33,61.26,87.37,72.4,12.06,90.25,6.64,53.4,14.21,375.06,2004-01-10 19:00:00
1.17,42.2,29.5,48.6,57.72,4.37,12.3,55.86,34.32,72.92,238.3,2004-01-10 20:00:00
65.23,84.56,69.25,42.99,67.3,27.54,30.63,78.9,44.64,79.84,339.25,2004-01-10 21:00:00
82.24,85.76,91.66,43.1,31.89,58.22,37.12,60.11,70.56,68.84,382.84,2004-01-10 22:00:00
37.46,16.69,43.05,14.26,89.01,34.59,15.45,2.54,64.58,63.69,230.07,2004-01-10 23:00:00
34.06,7.17,40.96,31.12,67.71,60.58,36.46,21.79,98.8,45.4,287.04,2004-01-11 00:00:00
